rank,headword,pos,en,ex_fr,ex_en,dispersion,freq
2563,affaiblir,v,to weaken,"il ne mange rien, il s’affaiblit –","he’s not eating anything, he’s weakening",77,403
2564,constamment,adv,"constantly, continuously, consistent",notre corps bouge constamment –,our body moves constantly,75,448
2565,horreur,nf,horror,j’ai horreur des silences pesants –,I abhor pregnant silence,68,603
2566,envahir,v,"to invade, overrun",un désespoir sinistre envahissait son esprit –,a dark despair invaded her mind,77,403
2567,pétrolier,nadj,oil; oil tanker,des dizaines de sites pétroliers sont occupés –,dozens of oil rigs have been occupied,61,768
2568,faculté,nf,"ability, right, option; faculty, university",sa faculté de travail est énorme –,his capacity for work is enormous,75,445
2569,brillant,"adj, nm",brilliant,"en plus, c’est une personnalité brillante, intelligente, sympathique –","moreover, he’s a brilliant, intelligent, likable person",74,458
2570,pacte,nm,"pact, treaty",il y avait un pacte entre nous –,there was a pact between us,77,409
2571,suspect,nadj,"suspicious, suspect",les suspects sont armés et très dangereux –,the suspects are armed and very dangerous,66,647
2572,lent,adj,slow,un prêtre s’avance à pas lents –,a priest walked slowly forward,71,533
2573,assistance,nf,"attendance, assistance",il a été chaudement applaudi par l’assistance –,he was warmly applauded by the audience,71,537
2574,négliger,v,to neglect,il ne faut négliger absolument aucun détail –,absolutely no detail must be overlooked,79,363
2575,injuste,adj(f),"unfair, unjust",ce qui leur arrive ainsi est injuste –,what happens to them is unjust,75,450
2576,plaider,v,to plead,il vous a envoyé plaider sa cause? –,he sent you to plead his case?,74,459
2577,récompenser,v,"to reward, recompense",il récompensait mes efforts d’un compliment –,he rewarded my efforts with a compliment,84,262
2578,suppression,nf,"deletion, suppression",Lucent avait annoncé la suppression de 900 emplois –,Lucent announced a reduction of 900 jobs,66,639
2579,coupure,nf,"cut, cutting",il y a eu une coupure de courant –,there was a power blackout,77,408
2580,glace,nf,"ice, ice cream; mirror",j’aime manger des glaces –,I like eating ice cream cones,69,580
2581,gare,"intj, nf","station, railway station; beware",on retrouve le mec à la gare –,the guy was found at the train station,68,590
2582,drapeau,nm,flag,le drapeau est plus qu’un simple bout de tissu –,the flag is more than a simple piece of cloth,70,552
2583,réparer,v,"to repair, fix, correct, make up",il est plombier. il répare les conduites d’eau –,he’s a plumber—he repairs water pipes,77,398
2584,sensibilité,nf,"sensitivity, sensibility",mettons ta sensibilité à l’épreuve –,let’s put your good sense to the test,80,350
2585,jaune,"adv, nadj(f)",yellow,ils regardent avec confiance les murs jaunes –,they look confidently at the yellow walls,67,614
2586,existant,adj,existing,cela constitue une atteinte aux traités existants –,this is an attack on existing treaties,69,561
2587,procureur,nm,prosecutor,"Michael était procureur adjoint, à l’époque –",Michael was a deputy prosecutor at the time,61,760
2588,informatique,nadj(f),"computer science, computing",je veux faire mon bac en informatique –,I want to get a bachelor’s degree in computer science,69,581
2589,restriction,nf,restriction,nous sommes aussi en faveur de cette restriction –,we’re also in favor of this restriction,72,515
2590,pacifique,adj(f),"peaceful, peace-loving",il est retombé dans l’Océan pacifique –,it sank into the Pacific Ocean,79,367
2591,bête,nadj(f),"animal, beast; stupid",laissez cette petite bête tranquille –,let this little critter alone,61,766
2592,indicateur,nadj,indicator,on se réfère aux indicateurs entrée des commandes –,check the data input lights,50,1072
2593,racine,nf,root,il n’a jamais oublié ses racines –,he never forgot his roots,75,432
2594,compenser,v,"to compensate for, make up for",le gouvernement entend-il compenser totalement ces pertes? –,does the government intend to totally compensate for these losses?,73,489
2595,maritime,adj(f),maritime,je viens d’une ville maritime –,I come from a maritime city,68,590
2596,gravité,nf,"seriousness, solemnity, graveness, gravity","la gravité, ce n’est pas vraiment mon style –",seriousness is not really my style,80,331
2597,pénétrer,v,to penetrate,il est très difficile de pénétrer dans le monde des vraies gitanes –,it’s very difficult to penetrate the world of real Gypsies,70,552
2598,civilisation,nf,civilization,on cherchait des signes de civilisation –,we were looking for signs of civilization,74,466
2599,rouler,v,to roll,il est difficile de réfléchir en roulant –,it’s difficult to reflect on things while driving,63,712
2600,technologique,adj(f),technological,il en résultera un influx technologique –,this will result in a technological explosion,71,531
2601,heurter,v,"to strike, hit, collide",j’ai heurté la voiture de ma femme –,I collided with my wife’s car,77,407
2602,football,nm,"football, soccer",j’ai beaucoup joué au football –,I played a lot of soccer,51,1039
2603,décevant,adj,disappointing,je trouvais très décevants les commentaires de nos journaux –,I was very disappointed by the commentary in our newspapers,88,192
2604,législation,nf,legislation,une législation européenne serait libérale par définition –,a European law would be liberal by definition,63,710
2605,approprier,v,"to adapt, appropriate, take over",dommage que les touristes anglais se l’approprient –,too bad the English tourists have taken it over,67,623
2606,tactique,nadj(f),"tactics, tactical",les Allemands avaient changé de tactique –,the Germans changed tactics,84,262
2607,thèse,nf,"thesis, argument",vous avez publié cette thèse? –,did you publish this thesis?,70,550
2608,acceptable,adj(f),"acceptable, satisfactory",une personne doit avoir un revenu acceptable –,a person must have a decent income,70,536
2609,surgir,v,to spring up,de Transylvanie surgit un chevalier roumain –,from Transylvania a Romanian knight suddenly appeared,75,442
2610,prince,nm,prince,je suis une princesse et je dois épouser un prince –,I’m a princess and I must marry a prince,66,644
2611,vidéo,"adji, nf",video,montre-lui tes nouveaux jeux vidéo –,show him your new video games,69,560
2612,semer,v,"to sow, scatter, spread",ça sème la confusion dans l’esprit des gens –,it sows confusion in people’s minds,82,303
2613,créateur,nadj,creator,il faut que les créateurs d’entreprises deviennent des employeurs –,entrepreneurs must become employers,69,572
2614,partenariat,nm,partnership,nous pouvons renforcer notre partenariat –,we can strenghten our partnership,65,652
2615,file,nf,"line, queue",les fichiers seront placés dans la file d’attente –,the files were placed in the queue,77,398
2616,chômeur,nm,unemployed person,je me suis retrouvé plus ou moins chômeur –,I found myself more or less unemployed,60,775
2617,correct,adj,correct,"d’accord, ça me paraît correct –","OK, that seems correct to me",73,476
2618,cuisine,nf,"cooking, kitchen",je croyais que tu aimais la cuisine chinoise –,I thought you liked Chinese food,64,685
2619,succéder,v,"to succeed, take over",il est extrêmement difficile de lui succéder –,it’s extremely difficult to take over his position,72,497
2620,royaume,nm,kingdom,"au début, son royaume était de taille moyenne –","at first, his kingdom was of average size",74,452
2621,rebelle,nadj(f),"rebel, rebellious",la bande rebelle n’échappera pas à la justice –,the rebel band will not escape justice,55,893
2622,provenance,nf,"origin, strange",les investissements en provenance de l’extérieur diminuent –,investments from abroad are decreasing,65,657
2623,fumer,v,to smoke,j’ai déjà fumé deux cigarettes –,I had already smoked two cigarettes,68,572
2624,dessin,nm,"drawing, pattern, design",vous aimez les dessins animés? –,do you like cartoons?,68,583
2625,viande,nf,meat,"depuis, je ne mange plus de viande –","since then, I don’t eat any meat",75,425
2626,paramètre,nm,parameter,le commutateur d’origine fixe les paramètres –,the master switch sets the parameters,45,1223
2627,gré,nm,liking,je vous sais gré de votre compréhension –,I am grateful that you have understood,79,359
2628,dessous,"adv, nm(pl), prep","underneath, below, bottom, underside",il retira la main de dessous sa chemise –,he pulled his hand out from underneath his shirt,75,424
2629,voyageur,nadj,traveler,c’est un voyageur chevronné –,he’s an accomplished traveler,70,539
2630,réaliste,nadj(f),"realist, realistic",la reproduction est absolument réaliste –,the reproduction is absolutely realistic,77,387
2631,condamnation,nf,condemnation,le jury doit prononcer sa condamnation vendredi –,the jury must sentence him on Friday,68,589
2632,similaire,adj(f),similar,les relevés indiquent une atmosphère similaire à la nôtre –,the statements point to an atmosphere similar to ours,74,454
2633,employeur,nm,employer,l’employeur et les employés ont tous deux contribué –,both the employers and the employees contributed,59,783
2634,paysage,nm,"landscape, scenery, countryside",ma bibliothèque est mon paysage mental –,my library is my mental countryside,68,571
2635,discret,adj,"discreet, tactful, quiet",ils voulaient un mariage discret –,they wanted to have a low-key marriage,80,329
2636,longueur,nf,length,la longueur d’un document d’opérateur est arbitraire –,the length of an operator’s manual is arbitrary,63,700
2637,lentement,adv,slowly,il se mit à rouler lentement le long du trottoir –,he started rolling slowly along the sidewalk,64,665
2638,miracle,nm,miracle,les miracles arrivent tous les jours –,miracles happen every day,73,465
2639,déboucher,v,"to unblock, uncork",il déboucha la bouteille et nous servit –,he uncorked the bottle and served us,77,390
2640,illégal,adj,illegal,je veux m’assurer que cela devienne illégal –,I want to be sure that this becomes illegal,71,515
